,transaction_date,Category,Amount Paid,Payment Mode,Description,Cashback
35,2023-01-21,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
36,2023-01-23,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
37,2023-01-18,Food,200,Cash,Bad fly simply final yes.,0.0
38,2023-01-20,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
39,2023-01-22,School fees,5000,Cash,halfyearly exam fees paid,0.0
40,2023-01-07,wifi,600,Cash,Costs associated with internet connectivity,0.0
41,2023-01-13,YouTube,300,Cash,Describe whatever management campaign might off.,0.0
42,2023-01-13,House Rent,6000,Debit card,Monthly payment is paid,0.0
43,2023-01-23,YouTube,300,Online,Behavior different along.,0.0
44,2023-01-29,YouTube,300,Cash,Pick bill school relationship.,0.0
45,2023-01-10,Entertainment,250,Cash,Can century suggest section create.,0.0
46,2023-01-06,Disney Hotstar,499,Credit card,Ability position save fear.,0.0
47,2023-01-22,wifi,600,Credit card,Costs associated with internet connectivity,0.0
48,2023-01-16,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
49,2023-01-21,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
50,2023-01-07,Disney Hotstar,499,Cash,Certain possible design.,0.0
51,2023-01-13,House Rent,6000,Debit card,Monthly payment is paid,0.0
52,2023-01-06,wifi,600,Cash,Costs associated with internet connectivity,0.0
53,2023-01-12,Water bill,100,Online,Charges for consumption of water services in a household,12.29
54,2023-01-22,wifi,600,Online,Costs associated with internet connectivity,0.0
55,2023-01-12,Food,200,Debit card,From especially able.,0.0
56,2023-01-25,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
57,2023-01-04,YouTube,300,Cash,Sort successful human.,0.0
58,2023-01-29,Travel,400,Debit card,Final dinner religious.,0.0
59,2023-01-13,wifi,600,Cash,Costs associated with internet connectivity,0.0
60,2023-01-06,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
61,2023-01-24,Spotify,350,Online,Subscription fees for music and podcasts from the service,55.74
62,2023-01-09,Disney Hotstar,499,Credit card,These appear participant.,0.0
63,2023-01-24,House Rent,6000,Cash,Monthly payment is paid,0.0
64,2023-01-05,Transportation,1500,Online,Relationship vote assume land analysis that.,0.0
65,2023-01-04,Transportation,1500,Cash,Until into table certain field create.,0.0
66,2023-01-27,wifi,600,Online,Costs associated with internet connectivity,0.0
67,2023-01-11,Transportation,1500,Debit card,Threat newspaper treat send mouth.,0.0
68,2023-01-04,Travel,400,Online,Under family important fact.,76.78
69,2023-01-18,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
70,2023-01-28,Entertainment,250,Credit card,Health child marriage fill commercial.,0.0
71,2023-01-18,Transportation,1500,Credit card,Turn generation trade public get.,0.0
72,2023-01-24,Travel,400,Credit card,Couple bill federal analysis science economic.,0.0
73,2023-01-30,Groceries,500,Debit card,1 week groceries are buyed,0.0
74,2023-01-18,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
75,2023-01-23,House Rent,6000,Debit card,Monthly payment is paid,0.0
76,2023-01-27,Food,200,Debit card,Wife put cost could.,0.0
77,2023-01-28,Investment,3000,Online,Example amount other Democrat speak base.,261.61
78,2023-01-13,YouTube,300,Credit card,Star receive both thank exist image.,0.0
79,2023-01-24,Audible,299,Credit card,Bring child white important weight.,0.0
80,2023-01-04,YouTube,300,Online,Continue media hotel forward along share.,31.46
81,2023-01-08,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
82,2023-01-04,Entertainment,250,Cash,Stage throughout now too adult agency.,0.0
83,2023-01-05,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
84,2023-01-06,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
85,2023-01-22,Disney Hotstar,499,Debit card,Method this move house successful.,0.0
86,2023-01-15,Investment,3000,Credit card,If speech Mrs suddenly couple.,0.0
87,2023-01-08,Health,2000,Online,"Costs for medical care,health insurance and wellness services",118.02
88,2023-01-12,Groceries,500,Online,1 week groceries are buyed,54.88
89,2023-01-23,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
90,2023-01-30,Entertainment,250,Cash,Particular interest site election.,0.0
91,2023-01-05,House Rent,6000,Debit card,Monthly payment is paid,0.0
92,2023-01-09,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
93,2023-01-08,Audible,299,Credit card,Result voice long analysis wife.,0.0
94,2023-01-23,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
95,2023-01-15,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
96,2023-01-16,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
97,2023-01-21,Disney Hotstar,499,Debit card,Think so couple upon officer drug.,0.0
98,2023-01-25,wifi,600,Credit card,Costs associated with internet connectivity,0.0
99,2023-01-22,Gas,1000,Online,Expenses for fuel used in heating and cooking,83.49
100,2023-01-12,House Rent,6000,Online,Monthly payment is paid,0.0
0,2023-02-21,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,0.0
1,2023-02-14,Travel,400,Cash,Appear computer figure.,0.0
2,2023-02-01,Audible,299,Debit card,World near once behavior see suddenly green.,0.0
3,2023-02-04,Food,200,Online,Politics policy shake agree our feeling.,38.45
4,2023-02-03,House Rent,6000,Credit card,Monthly payment is paid,0.0
5,2023-02-17,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
6,2023-02-15,Groceries,500,Online,1 week groceries are buyed,0.0
7,2023-02-24,Entertainment,250,Debit card,Concern lose force shoulder bring.,0.0
8,2023-02-05,Transportation,1500,Online,Seem these able newspaper.,0.0
9,2023-02-10,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
10,2023-02-03,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
11,2023-02-22,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
12,2023-02-23,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
13,2023-02-09,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
14,2023-02-23,Transportation,1500,Credit card,Everybody him theory.,0.0
15,2023-02-27,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
16,2023-02-18,Entertainment,250,Debit card,Personal huge situation much painting.,0.0
17,2023-02-05,Travel,400,Online,Various say face concern material.,42.51
18,2023-02-23,Transportation,1500,Online,Individual goal drop both.,83.63
19,2023-02-14,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
20,2023-02-13,Investment,3000,Debit card,Reduce a place federal next we.,0.0
21,2023-02-18,Disney Hotstar,499,Online,Enter defense explain be need rise.,69.11
22,2023-02-12,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
23,2023-02-08,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
24,2023-02-26,School fees,5000,Debit card,halfyearly exam fees paid,0.0
25,2023-02-13,School fees,5000,Online,halfyearly exam fees paid,0.0
26,2023-02-27,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
27,2023-02-06,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
28,2023-02-10,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
29,2023-02-24,School fees,5000,Credit card,halfyearly exam fees paid,0.0
30,2023-02-25,Food,200,Credit card,Just sell wind soon but fact.,0.0
31,2023-02-17,Disney Hotstar,499,Credit card,Least five everything tough race.,0.0
32,2023-02-13,Transportation,1500,Credit card,Media part security.,0.0
33,2023-02-11,Disney Hotstar,499,Credit card,Cell perhaps stay sound.,0.0
34,2023-02-19,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
35,2023-02-12,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
36,2023-02-01,Transportation,1500,Online,Actually remember wonder seat by.,194.27
37,2023-02-20,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
38,2023-02-20,Entertainment,250,Cash,Message suggest establish live growth like.,0.0
39,2023-02-08,Entertainment,250,Debit card,Fill interest dog age all.,0.0
40,2023-02-09,Audible,299,Credit card,Last serious thousand response nothing.,0.0
41,2023-02-08,wifi,600,Cash,Costs associated with internet connectivity,0.0
42,2023-02-15,Entertainment,250,Online,Anyone tonight sometimes mean daughter place.,25.94
43,2023-02-26,wifi,600,Online,Costs associated with internet connectivity,0.0
44,2023-02-06,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
45,2023-02-08,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
46,2023-02-21,wifi,600,Cash,Costs associated with internet connectivity,0.0
47,2023-02-14,Audible,299,Debit card,Democrat maintain final American culture development.,0.0
48,2023-02-16,Entertainment,250,Cash,Form majority someone.,0.0
49,2023-02-06,Transportation,1500,Online,Fall family pull.,119.4
50,2023-02-11,Disney Hotstar,499,Online,Cover seek interview view.,40.11
51,2023-02-13,wifi,600,Credit card,Costs associated with internet connectivity,0.0
52,2023-02-27,Travel,400,Credit card,Stage million still.,0.0
53,2023-02-19,Transportation,1500,Online,Word professional sea policy yeah.,254.56
54,2023-02-25,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
55,2023-02-08,YouTube,300,Debit card,Your everybody improve mother itself science.,0.0
56,2023-02-03,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
57,2023-02-25,Food,200,Cash,Per environmental child customer wife pull.,0.0
58,2023-02-06,YouTube,300,Online,Interest daughter walk game without.,0.0
59,2023-02-15,wifi,600,Debit card,Costs associated with internet connectivity,0.0
60,2023-02-12,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
61,2023-02-15,Audible,299,Online,Final law a commercial goal heavy.,0.0
62,2023-02-10,House Rent,6000,Online,Monthly payment is paid,0.0
63,2023-02-21,Audible,299,Debit card,Good that sure hour.,0.0
64,2023-02-01,YouTube,300,Online,Per health beyond drop professor fight.,18.03
65,2023-02-04,Investment,3000,Online,Weight per test since.,569.02
66,2023-02-02,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
67,2023-02-14,Transportation,1500,Online,Prevent possible among.,230.43
68,2023-02-07,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,17.25
69,2023-02-11,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
70,2023-02-12,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
71,2023-02-14,wifi,600,Online,Costs associated with internet connectivity,0.0
72,2023-02-24,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
73,2023-02-07,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
74,2023-02-09,YouTube,300,Credit card,Month which set cell economic light.,0.0
75,2023-02-25,Groceries,500,Online,1 week groceries are buyed,0.0
76,2023-02-22,wifi,600,Cash,Costs associated with internet connectivity,0.0
77,2023-02-27,School fees,5000,Debit card,halfyearly exam fees paid,0.0
78,2023-02-24,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
79,2023-02-06,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,0.0
80,2023-02-07,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
81,2023-02-01,Groceries,500,Debit card,1 week groceries are buyed,0.0
82,2023-02-04,Food,200,Credit card,Everyone blue phone attention human.,0.0
83,2023-02-23,Entertainment,250,Credit card,Forward employee miss always hard.,0.0
84,2023-02-08,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
85,2023-02-08,YouTube,300,Cash,Direction stand morning sound individual single.,0.0
86,2023-02-19,Entertainment,250,Online,Government test concern on determine.,43.36
87,2023-02-22,Groceries,500,Cash,1 week groceries are buyed,0.0
88,2023-02-17,Transportation,1500,Debit card,Student contain change network and.,0.0
89,2023-02-15,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,59.46
90,2023-02-13,School fees,5000,Debit card,halfyearly exam fees paid,0.0
91,2023-02-27,Water bill,100,Online,Charges for consumption of water services in a household,16.8
92,2023-02-04,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
93,2023-02-01,House Rent,6000,Online,Monthly payment is paid,1108.75
94,2023-02-09,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
95,2023-02-03,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
96,2023-02-06,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
97,2023-02-06,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
98,2023-02-11,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
99,2023-02-23,Transportation,1500,Credit card,Show market discuss.,0.0
100,2023-02-05,Food,200,Debit card,Skin single bill down sea.,0.0
0,2023-03-21,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
1,2023-03-19,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
2,2023-03-29,Investment,3000,Debit card,Young they poor cost understand month.,0.0
3,2023-03-28,Groceries,500,Credit card,1 week groceries are buyed,0.0
4,2023-03-24,Food,200,Debit card,Structure information case.,0.0
5,2023-03-23,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
6,2023-03-13,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
7,2023-03-30,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
8,2023-03-08,Food,200,Debit card,Since man model officer difficult.,0.0
9,2023-03-19,Investment,3000,Debit card,Tax knowledge store city.,0.0
10,2023-03-01,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
11,2023-03-07,Investment,3000,Online,Dream avoid its against commercial stuff.,436.47
12,2023-03-11,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
13,2023-03-08,School fees,5000,Credit card,halfyearly exam fees paid,0.0
14,2023-03-10,School fees,5000,Debit card,halfyearly exam fees paid,0.0
15,2023-03-14,Entertainment,250,Debit card,Congress score blue factor no fast.,0.0
16,2023-03-14,wifi,600,Cash,Costs associated with internet connectivity,0.0
17,2023-03-12,Disney Hotstar,499,Online,Seven author only.,28.75
18,2023-03-03,Disney Hotstar,499,Online,Medical national pull reach.,66.07
19,2023-03-25,School fees,5000,Online,halfyearly exam fees paid,613.76
20,2023-03-27,Groceries,500,Debit card,1 week groceries are buyed,0.0
21,2023-03-19,House Rent,6000,Debit card,Monthly payment is paid,0.0
22,2023-03-19,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
23,2023-03-16,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
24,2023-03-30,Gas,1000,Online,Expenses for fuel used in heating and cooking,80.94
25,2023-03-25,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
26,2023-03-18,Groceries,500,Debit card,1 week groceries are buyed,0.0
27,2023-03-03,Disney Hotstar,499,Cash,Ever born dinner current.,0.0
28,2023-03-17,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
29,2023-03-22,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
30,2023-03-20,Groceries,500,Debit card,1 week groceries are buyed,0.0
31,2023-03-09,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
32,2023-03-01,wifi,600,Credit card,Costs associated with internet connectivity,0.0
33,2023-03-29,wifi,600,Credit card,Costs associated with internet connectivity,0.0
34,2023-03-09,YouTube,300,Cash,Paper quality stage his no.,0.0
35,2023-03-24,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
36,2023-03-01,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
37,2023-03-10,Food,200,Credit card,Test view including.,0.0
38,2023-03-29,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
39,2023-03-29,Investment,3000,Credit card,Firm blood must already mouth.,0.0
40,2023-03-17,House Rent,6000,Cash,Monthly payment is paid,0.0
41,2023-03-24,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,55.74
42,2023-03-08,Entertainment,250,Online,Force life article back identify forget.,15.85
43,2023-03-08,Disney Hotstar,499,Cash,Resource make behind performance teacher.,0.0
44,2023-03-14,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
45,2023-03-03,YouTube,300,Credit card,Similar way detail unit.,0.0
46,2023-03-05,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
47,2023-03-14,Entertainment,250,Credit card,Later always perhaps.,0.0
48,2023-03-13,Disney Hotstar,499,Debit card,Can network ok develop with.,0.0
49,2023-03-02,Travel,400,Cash,One can eye range receive.,0.0
50,2023-03-08,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
51,2023-03-13,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
52,2023-03-04,Disney Hotstar,499,Credit card,Begin more last create.,0.0
53,2023-03-08,Groceries,500,Debit card,1 week groceries are buyed,0.0
54,2023-03-14,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
55,2023-03-02,Food,200,Online,Me material speech market.,0.0
56,2023-03-24,Audible,299,Online,Business expect morning.,0.0
57,2023-03-27,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
58,2023-03-14,Travel,400,Online,Sign law run old.,0.0
59,2023-03-25,Travel,400,Debit card,Clear seek find voice expert.,0.0
60,2023-03-14,Spotify,350,Online,Subscription fees for music and podcasts from the service,0.0
61,2023-03-21,wifi,600,Debit card,Costs associated with internet connectivity,0.0
62,2023-03-20,Travel,400,Credit card,Sure again generation generation.,0.0
63,2023-03-15,House Rent,6000,Debit card,Monthly payment is paid,0.0
64,2023-03-20,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
65,2023-03-03,Investment,3000,Cash,Fear her officer.,0.0
66,2023-03-22,wifi,600,Credit card,Costs associated with internet connectivity,0.0
67,2023-03-27,Food,200,Credit card,Carry reflect practice.,0.0
68,2023-03-07,Audible,299,Online,Card design bag reflect sort enjoy.,38.47
69,2023-03-08,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
70,2023-03-04,Disney Hotstar,499,Online,Lead free finally citizen.,32.88
71,2023-03-30,wifi,600,Debit card,Costs associated with internet connectivity,0.0
72,2023-03-13,Investment,3000,Credit card,Movie modern worker.,0.0
73,2023-03-11,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,19.66
74,2023-03-11,Food,200,Online,Fact simply become.,23.22
75,2023-03-26,Entertainment,250,Debit card,Give customer poor main.,0.0
76,2023-03-20,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
77,2023-03-10,House Rent,6000,Online,Monthly payment is paid,0.0
78,2023-03-22,Audible,299,Debit card,Concern once ask.,0.0
79,2023-03-24,YouTube,300,Online,Attack next mouth.,0.0
80,2023-03-07,Investment,3000,Online,Scientist message west better reduce meet.,0.0
81,2023-03-29,wifi,600,Online,Costs associated with internet connectivity,58.85
82,2023-03-14,wifi,600,Online,Costs associated with internet connectivity,0.0
83,2023-03-27,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
84,2023-03-26,Travel,400,Online,Talk hand citizen.,0.0
85,2023-03-28,School fees,5000,Cash,halfyearly exam fees paid,0.0
86,2023-03-28,Travel,400,Online,Order friend question imagine.,0.0
87,2023-03-11,Investment,3000,Cash,Interview action PM nice card.,0.0
88,2023-03-22,House Rent,6000,Online,Monthly payment is paid,0.0
89,2023-03-02,wifi,600,Credit card,Costs associated with internet connectivity,0.0
90,2023-03-27,Travel,400,Credit card,Perform back rather task.,0.0
91,2023-03-25,Transportation,1500,Debit card,Memory girl at inside.,0.0
92,2023-03-13,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
93,2023-03-04,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
94,2023-03-12,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,59.7
95,2023-03-10,School fees,5000,Online,halfyearly exam fees paid,643.23
96,2023-03-10,Investment,3000,Online,Program help lose.,211.44
97,2023-03-26,wifi,600,Cash,Costs associated with internet connectivity,0.0
98,2023-03-30,Disney Hotstar,499,Cash,Section recent population.,0.0
99,2023-03-22,Disney Hotstar,499,Cash,These range relate left road never.,0.0
100,2023-03-21,Food,200,Cash,Floor party staff environment contain.,0.0
0,2023-04-01,Investment,3000,Debit card,Treatment whatever box challenge theory.,0.0
1,2023-04-08,School fees,5000,Cash,halfyearly exam fees paid,0.0
2,2023-04-22,School fees,5000,Online,halfyearly exam fees paid,0.0
3,2023-04-21,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
4,2023-04-16,Transportation,1500,Debit card,Today recognize one me yet set.,0.0
5,2023-04-10,Food,200,Debit card,Stock cut both story.,0.0
6,2023-04-24,House Rent,6000,Debit card,Monthly payment is paid,0.0
7,2023-04-28,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,117.25
8,2023-04-05,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
9,2023-04-23,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
10,2023-04-28,YouTube,300,Cash,Lay next tell tax.,0.0
11,2023-04-20,House Rent,6000,Online,Monthly payment is paid,0.0
12,2023-04-13,wifi,600,Cash,Costs associated with internet connectivity,0.0
13,2023-04-14,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
14,2023-04-13,Entertainment,250,Credit card,Window quality learn dark wind memory.,0.0
15,2023-04-22,Travel,400,Cash,Model south camera he.,0.0
16,2023-04-06,School fees,5000,Credit card,halfyearly exam fees paid,0.0
17,2023-04-24,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
18,2023-04-20,Groceries,500,Online,1 week groceries are buyed,0.0
19,2023-04-10,YouTube,300,Debit card,Ok son choice way.,0.0
20,2023-04-19,Investment,3000,Cash,Present prevent no.,0.0
21,2023-04-14,Transportation,1500,Debit card,Address market owner across his policy.,0.0
22,2023-04-02,House Rent,6000,Online,Monthly payment is paid,1183.24
23,2023-04-23,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
24,2023-04-28,House Rent,6000,Cash,Monthly payment is paid,0.0
25,2023-04-21,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
26,2023-04-26,Groceries,500,Online,1 week groceries are buyed,76.08
27,2023-04-25,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
28,2023-04-11,wifi,600,Cash,Costs associated with internet connectivity,0.0
29,2023-04-09,Transportation,1500,Credit card,Side decide much type remain relate.,0.0
30,2023-04-16,YouTube,300,Cash,Several view say summer theory important.,0.0
31,2023-04-23,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
32,2023-04-29,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
33,2023-04-25,Travel,400,Online,All we detail brother.,79.96
34,2023-04-04,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
35,2023-04-08,School fees,5000,Online,halfyearly exam fees paid,0.0
36,2023-04-27,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
37,2023-04-23,Travel,400,Cash,Special effort nice choice provide.,0.0
38,2023-04-21,School fees,5000,Cash,halfyearly exam fees paid,0.0
39,2023-04-19,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
40,2023-04-23,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
41,2023-04-10,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
42,2023-04-12,House Rent,6000,Cash,Monthly payment is paid,0.0
43,2023-04-22,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
44,2023-04-17,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
45,2023-04-02,Spotify,350,Online,Subscription fees for music and podcasts from the service,48.88
46,2023-04-05,wifi,600,Cash,Costs associated with internet connectivity,0.0
47,2023-04-08,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
48,2023-04-09,Entertainment,250,Online,Three here art.,48.63
49,2023-04-29,Transportation,1500,Debit card,Conference guess film media.,0.0
50,2023-04-09,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
51,2023-04-27,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
52,2023-04-27,House Rent,6000,Cash,Monthly payment is paid,0.0
53,2023-04-03,YouTube,300,Debit card,Big answer able.,0.0
54,2023-04-07,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
55,2023-04-27,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
56,2023-04-11,Audible,299,Debit card,Threat my position talk really.,0.0
57,2023-04-22,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,144.44
58,2023-04-09,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
59,2023-04-18,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
60,2023-04-02,House Rent,6000,Online,Monthly payment is paid,730.51
61,2023-04-23,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
62,2023-04-28,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
63,2023-04-26,Entertainment,250,Credit card,Even hard analysis need interesting.,0.0
64,2023-04-20,YouTube,300,Debit card,Compare weight simple by point.,0.0
